Ontology,OntologyLoadingTime_ns,MetricMeasuringTime_ns,TotalTime_ns
approximated_1630b64f-9852-4bf1-b237-d90d622ac6a0_ns.owl_functional.owl,27056523,9600211,36656734
approximated_ce01d0b4-811c-4b75-8ffa-41b2c2b45cd9_Design.v16.owl_functional.owl,78260652,7131175,85391827
ea684dbf-d36b-4f7c-b5dd-a71687b2dafa_type.rdf_functional.owl,77227564,99183367,176410931
approximated_3c41871f-f428-4862-9cfd-e3acd1b4c8c1_dian_valve.ttl_functional.owl,14339918,4053092,18393010
approximated_c074ec7f-0f44-44cb-a4fc-59563c255c54_dKnowledge.owl_functional.owl,12481615,5858286,18339901
4c221298-7309-4bc3-bb37-78ec263abb6f_classified.owl_functional.owl,25200611,27745455,52946066
approximated_a1ca6f7d-eab9-4b8f-8f9b-bed47001e9e6_interface.owl_functional.owl,16776488,2064225,18840713
0cd0b9d7-4b0b-443f-9139-2dc69088938a_pathway.obo_functional.owl,31100530,48637967,79738497
approximated_4b39fc56-bc7e-4947-a1a4-5bfd97d52ff2_Hotel.rdf_functional.owl,16213431,3860531,20073962
approximated_5b493be1-de5f-4bf8-b766-24079ab81854_cryo.owl_functional.owl,78541703,138336586,216878289
approximated_c0e4367f-8267-40a1-a83e-5a4678ad79bb_andFluvial.owl_functional.owl,130777929,212870212,343648141
approximated_d9bfc7d2-bcd1-4289-a223-2c091d2b50e1_tambisfull.owl_functional.owl,32290606,29203907,61494513
approximated_886cda93-23eb-40d2-9a1b-af45f74deb0d_onto.rdf_functional.owl,17854288,4823849,22678137
39f92fd6-6545-47a9-b77d-219c0fbadbc6__Bezeichnungen_functional.owl,19437312,2601887,22039199
approximated_eb3935a2-5c42-4f91-9277-34052419fa97_COSMOMod.owl_functional.owl,327054203,564988543,892042746
0f1441b8-1a55-42f7-abd7-e6a214a5627f_brenda.obo_functional.owl,114275349,260173244,374448593
01951143-a1ee-44e6-93eb-0b82c695c0e4_gumo.owl_functional.owl,33120603,61660624,94781227
