Ontology	OntologyLoading	Classification
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0631b0c3-b2cf-4880-b128-dc263545fe81_eHexenprozesse_functional.owl	785692482	-45675984543176
/media/uoa/Data1/ore2014_dataset/ClassificationEL/06351fae-998e-422e-977e-0c25d1a6c730_Cyclist.owl_functional.owl	865557197	243836255
/media/uoa/Data1/ore2014_dataset/ClassificationEL/06374a6b-539e-498c-999d-be0f044cece0_PropertyEditor_functional.owl	794221630	-45678159710604
/media/uoa/Data1/ore2014_dataset/ClassificationEL/066043ed-e67a-4576-86e5-6440bb9a3a7f_hpmerged.obo_functional.owl	1108302991	1347831105
/media/uoa/Data1/ore2014_dataset/ClassificationEL/066a6af7-677d-4204-9839-23a6730c2d35_nt.obo.CURRENT_functional.owl	799657154	242487401
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0683ced9-e79f-4bc7-a75a-b2c425cdae5d_go.obo_functional.owl	2081330629	11758717953
/media/uoa/Data1/ore2014_dataset/ClassificationEL/069b23e0-2d3c-4532-af90-4a36ad576dc5_zoology.rdf_functional.owl	820920270	-45696950705396
/media/uoa/Data1/ore2014_dataset/ClassificationEL/069be1c1-0d67-4042-8e3e-bbc9ec34a6f6_REX.obo_functional.owl	871341144	359506828
/media/uoa/Data1/ore2014_dataset/ClassificationEL/06a405d6-f348-4ba3-a8ad-bd66210fa433_us.owl_functional.owl	795791420	186234086
/media/uoa/Data1/ore2014_dataset/ClassificationEL/06c9f57b-624c-4e3a-9610-48d68898db4c_HAO.obo_functional.owl	902615685	819919539
/media/uoa/Data1/ore2014_dataset/ClassificationEL/06cc1275-8160-4da6-966f-a2b135d920f9_hp.obo_functional.owl	1194220799	1515876248
/media/uoa/Data1/ore2014_dataset/ClassificationEL/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl	752922203	167900999
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0707be50-bd13-400e-9664-5a058bfeac93_umls.owl_functional.owl	820243251	183975798
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0721d520-f07e-45cf-8585-5ec1737e60ba_onto.rdf_functional.owl	784911653	175792096
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0724ea7f-e9b2-460f-b5ab-85a868f64b2d_onto.rdf_functional.owl	778485774	166122770
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0745dbda-5142-45d6-8411-2142bc784aaa_fyposimple.obo_functional.owl	903246458	1079608405
/media/uoa/Data1/ore2014_dataset/ClassificationEL/074906cd-79f6-4a9b-8d0e-bded0ff3ca48__phenotype.obo_functional.owl	1095338751	1253372700
/media/uoa/Data1/ore2014_dataset/ClassificationEL/074e7838-965c-4a62-9133-e5615249d0e2_s_musculus.obo_functional.owl	1203613019	959717117
/media/uoa/Data1/ore2014_dataset/ClassificationEL/07755c88-21b7-4e1b-9117-55743e7d9690_spd.obo_functional.owl	805405414	336466046
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0778f4da-24b9-4412-b670-0db67ab2ed93_FYPO.obo_functional.owl	937138050	1325410796
/media/uoa/Data1/ore2014_dataset/ClassificationEL/077c8aaf-3813-4cec-b2a4-cdf6c82366e2_inalistype.owl_functional.owl	1191544142	903334594
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0780c1cc-9351-42a5-b0c6-21204bccf8df_classified.obo_functional.owl	2404928362	10507858712
/media/uoa/Data1/ore2014_dataset/ClassificationEL/078c7631-2408-417a-97da-4de176307c68_n_xp_chebi.obo_functional.owl	1089151860	2131602172
/media/uoa/Data1/ore2014_dataset/ClassificationEL/078c8a5e-888d-43f8-974c-07fa5824676d_FBbt.obo_functional.owl	1220126108	1712364947
/media/uoa/Data1/ore2014_dataset/ClassificationEL/07a17151-c37f-4e93-9e65-2c459e27183c_EBI_import.owl_functional.owl	799652896	323654979
/media/uoa/Data1/ore2014_dataset/ClassificationEL/07b4edf0-5daa-4233-9f6d-d25487c600e3__phenotype.obo_functional.owl	1152995179	1220805264
/media/uoa/Data1/ore2014_dataset/ClassificationEL/07b96969-c53e-4563-b6fa-496d0371de6f_nent_xp_go.obo_functional.owl	800492974	295611300
/media/uoa/Data1/ore2014_dataset/ClassificationEL/07dbe207-ab0b-4570-8579-04296a7bc115_ernational.rdf_functional.owl	785881003	264662462
/media/uoa/Data1/ore2014_dataset/ClassificationEL/07e9ab44-2a8a-4515-8de8-db2dd70302d8_go.obo.CURRENT_functional.owl	858618180	407891888
/media/uoa/Data1/ore2014_dataset/ClassificationEL/07f1dd31-69eb-4bfd-9d85-4dbcc9104246_event.obo_functional.owl	984618069	718062863
/media/uoa/Data1/ore2014_dataset/ClassificationEL/07fccd6f-2fdc-4c5f-aee6-1edd6611d2d5_EbGdrcN5Y29ycA_functional.owl	947928996	510924715
/media/uoa/Data1/ore2014_dataset/ClassificationEL/08308ae2-7078-45f8-8553-d3be59a03175_ratebridge.owl_functional.owl	1143197927	1064030704
/media/uoa/Data1/ore2014_dataset/ClassificationEL/085b1f67-63ec-4cab-95e9-3edf96c30fa1_eriofamily.owl_functional.owl	1308470100	1197158128
/media/uoa/Data1/ore2014_dataset/ClassificationEL/08691c7a-7b0a-4db8-b8d8-5cf046b5235e_envo.owl2_functional.owl	898193927	459194372
/media/uoa/Data1/ore2014_dataset/ClassificationEL/086afcb9-d836-44bf-8a44-1c999b2ebdc0_spergillus.obo_functional.owl	794629779	190611849
/media/uoa/Data1/ore2014_dataset/ClassificationEL/086bc8fe-9648-4f9c-973e-88f33d5392a1_gastertype.owl_functional.owl	1235761562	904647629
/media/uoa/Data1/ore2014_dataset/ClassificationEL/08978b2b-04da-4d85-bf76-32127e4ea6e1_animals.owl_functional.owl	773533605	188308102
/media/uoa/Data1/ore2014_dataset/ClassificationEL/08a4ecab-f8ce-4717-8f16-46c4a9ac8177_ontology_7.owl_functional.owl	839665829	-45763400428494
/media/uoa/Data1/ore2014_dataset/ClassificationEL/08af329b-613b-4c0f-b1dc-7883581ffe98_sbf.owl_functional.owl	806628357	210409017
/media/uoa/Data1/ore2014_dataset/ClassificationEL/08c18558-c391-4b1f-84c6-3631d00c948f_protlabels.owl_functional.owl	991202645	529454253
/media/uoa/Data1/ore2014_dataset/ClassificationEL/08d5f44e-5e8d-498f-ab9c-ecdc7d27565e_evelopment.obo_functional.owl	782974756	232528952
/media/uoa/Data1/ore2014_dataset/ClassificationEL/08fc4b78-455f-4ee3-a8a6-4ff94288ff40_ish_label.rdfs_functional.owl	771542752	-45768216774520
/media/uoa/Data1/ore2014_dataset/ClassificationEL/091b5a2b-42d5-4e62-ad9c-accc5776e016__april2007.rdf_functional.owl	775702694	-45769162121101
/media/uoa/Data1/ore2014_dataset/ClassificationEL/091e00db-b909-4856-a8e6-b37221827fd2_ss_xp_self.obo_functional.owl	853457330	412506092
/media/uoa/Data1/ore2014_dataset/ClassificationEL/092612bc-e768-4ecf-b6f1-0f9ba6735033_ss_xp_cell.obo_functional.owl	900529166	457484890
